Date,Clinic,Time,DocName,Review,Reviewer_Name
12/10/2014,"Care Medicentre,, Kingsway Camp, Delhi",11:42:14,Dr. Arpana Jain,Friendly and a patient doctor. Would recommend to my family n friends., Verified Patient 
12/10/2014,"Care Medicentre,, Kingsway Camp, Delhi",11:32:39,Dr. Arpana Jain,Well satisfactory doctor....:-) , Verified Patient 
12/10/2014,"Care Medicentre,, Kingsway Camp, Delhi",7:26:04,Dr. Arpana Jain,A nice experience with extremely friendly and helpful doctor, Verified Patient 
12/9/2014,"Care Medicentre,, Kingsway Camp, Delhi",15:09:05,Dr. Arpana Jain,The overall experience was very good and satisfying., Verified Patient 
12/9/2014,"Care Medicentre,, Kingsway Camp, Delhi",8:24:15,Dr. Arpana Jain,Satisfactory experience. Thank you for you right guidance at the right time. , Verified Patient 
12/8/2014,"Care Medicentre,, Kingsway Camp, Delhi",9:19:03,Dr. Arpana Jain,We really feel that all our problems are attended very seriously and patiently by the doctor., Verified Patient 
12/8/2014,"Care Medicentre,, Kingsway Camp, Delhi",8:29:04,Dr. Arpana Jain,It was good and relieving talking to doctor, Verified Patient 
12/8/2014,"Care Medicentre,, Kingsway Camp, Delhi",8:09:40,Dr. Arpana Jain,She is such a NYC Dr...completely satisfied with her treatment...so caring..., Verified Patient 
12/6/2014,"Care Medicentre,, Kingsway Camp, Delhi",13:53:33,Dr. Arpana Jain,"We are having a pleasant experience. Our worries are carefully being taken and we are hoping for same experience, throughout the entire period", Verified Patient 
12/6/2014,"Care Medicentre,, Kingsway Camp, Delhi",10:45:57,Dr. Arpana Jain,Over all good experience, Verified Patient 
12/6/2014,"Care Medicentre,, Kingsway Camp, Delhi",10:24:27,Dr. Arpana Jain,"It was very gud, me and my wife really felt like family. Dr. Mam is very cooperative and supportive.", Verified Patient 
12/6/2014,"Care Medicentre,, Kingsway Camp, Delhi",9:48:03,Dr. Arpana Jain,We have good experiance with dr.  she gives nice advice and caring for patient. , Verified Patient 
12/5/2014,"Care Medicentre,, Kingsway Camp, Delhi",13:23:42,Dr. Arpana Jain,"A Doctor who care for you. A Doctor on you can have faith, rely upon and trust upon & a Doctor with GOD hands.", Verified Patient 
12/5/2014,"Care Medicentre,, Kingsway Camp, Delhi",8:38:49,Dr. Arpana Jain,Overall good.satisfied :-) , Verified Patient 
12/4/2014,"Care Medicentre,, Kingsway Camp, Delhi",9:03:14,Dr. Arpana Jain,"It was wonderful experience. Really nice doctor. If suffering from any disease, don't hesitate to consult Dr. Arpana Jain. She will direct you in correct way. ,I am very happy. Thanks. ", Verified Patient 
12/12/2014,"Care Medicentre,, Kingsway Camp, Delhi",14:46:05,Dr. Arpana Jain,Great..... Actually excellent, Verified Patient 
12/10/2014,"Care Medicentre,, Kingsway Camp, Delhi",11:21:44,Dr. Arpana Jain,The best experience primarily because of the best doctor we have ever met., Verified Patient 
12/8/2014,"Care Medicentre,, Kingsway Camp, Delhi",8:03:20,Dr. Arpana Jain,"Experience is great, I m starting feeling a live and in secure hands WD mam. I can't even think to go to any other doctor or my life without mam. May god bless her.", Verified Patient 
